id_szkoly,nazwa_szkoly,adres,miejscowosc,kod_pocztowy,dzielnica
25456,LVII Liceum Ogólnokształcące Ośrodek Rozwoju Polskiej Edukacji za Granicą,Umińskiego 12,Warszawa,01-513,Mokotów
25350,Prywatne Liceum Ogólnokształcące Sióstr Nazaretanek z Oddziałami Międzynarodowymi,Czerniakowska 137,Warszawa,00-720,Mokotów
25346,Liceum Ogólnokształcące Szkoła Liderów w Warszawie,Bobrowiecka 9,Warszawa,00-728,Mokotów
25343,Niepubliczne Liceum Ogólnokształcące nr 81 SGH,Świeradowska 43,Warszawa,02-662,Mokotów
25342,XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa w Warszawie,Zakrzewska 24,Warszawa,00-737,Mokotów
25341,Prywatne Liceum Ogólnokształcące nr 51 im. Hipolita Wawelberga w Warszawie,Bobrowiecka 9,Warszawa,00-728,Mokotów
25340,XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego w Warszawie,Gandhiego 13,Warszawa,02-645,Mokotów
25338,Liceum Ogólnokształcące Niepubliczne nr 6,J.S. Bacha 2,Warszawa,02-743,Mokotów
25337,XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,Wiktorska 99,Warszawa,02-575,Mokotów
25336,LXXX Liceum Ogólnokształcące im. Leopolda Staffa w Zespole Szkół Licealnych i Technicznych nr 1 w Warszawie,Wiśniowa 56,Warszawa,02-520,Mokotów
25335,LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego,Narbutta 31,Warszawa,02-536,Mokotów
25334,Liceum Ogólnokształcące Społeczne nr 17,Batorego 14,Warszawa,02-591,Mokotów
25333,XLIV Liceum Ogólnokształcące im. Antoniego Dobiszewskiego,Dolna 6,Warszawa,00-774,Mokotów
25332,XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. J. W. Goethego,Joliot-Curie 14,Warszawa,02-646,Mokotów
25331,XLII Liceum Ogólnokształcące im. Marii Konopnickiej w Warszawie,Madalińskiego 22,Warszawa,02-513,Mokotów
25330,Autorskie Liceum Ogólnokształcące Niepubliczne nr 42,Iwicka 47b,Warszawa,00-735,Mokotów
25327,CI Liceum Ogólnokształcące Integracyjne,św. Bonifacego 10,Warszawa,02-914,Mokotów
25325,VI Liceum Ogólnokształcące im. Tadeusza Reytana,Wiktorska 30/32,Warszawa,02-587,Mokotów
25323,LXV Liceum Ogólnokształcące,Marynarska 2/6,Warszawa,02-674,Mokotów
