kod_ucznia,rok,rocznik,plec,poczta,wojewodztwo,zainteresowanie,poziom_stypendium
662106,2011,1999,M,Rychwałdek,małopolskie,,1
324326,2011,2000,M,Katowice,śląskie,muzyka,1
632383,2011,2002,K,Kaczorów gn. Bolków,lubuskie,humanistyka,1
804017,2011,1994,K,Warszawa,mazowieckie,filozofia,1
151079,2011,1993,K,Przygodzice,?,plastyka,1
151079,2011,1993,K,Przygodzice,brak,plastyka,1
592351,2011,1994,K,Toruń,kujawsko-pomorskie,humanistyka,1
246477,2011,1999,M,Daleszyce,świętokrzyskie,nauki społeczne,3
419132,2011,1997,K,Rzeszów,podkarpackie,,2
229944,2011,1994,K,Warszawa,mazowieckie,biologia,3
221027,2011,1993,M,Warszawa,mazowieckie,,3
191441,2011,1998,K,Wodzisław Śląski,śląskie,humanistyka,3
847629,2011,1996,K,Czyżówka,małopolskie,humanistyka,3
74674,2011,1995,K,Kraków,małopolskie,biologia,2
761092,2011,1993,M,Krzeszowice,małopolskie,,2
598628,2011,1997,K,Krzeszowice,małopolskie,humanistyka,1
183664,2011,1995,K,Wymysłów,śląskie,humanistyka,3
758986,2011,1994,M,Gdańsk,pomorskie,humanistyka,3
371244,2011,1997,K,Gdańsk,pomorskie,humanistyka,2
745277,2011,1996,K,Koszalin,zachodniopomorskie,humanistyka,2
577147,2011,1993,M,Sławno,zachodniopomorskie,matematyka,1
822978,2011,1995,M,Harta,podkarpackie,,3
633832,2011,1996,K,Zakrzew,mazowieckie,,1
616797,2011,1994,M,Stargard Szczeciński,zachodniopomorskie,matematyka,3
773647,2011,1998,K,Białystok,podlaskie,,3
41159,2011,1999,K,Warszawa,mazowieckie,humanistyka,2
928293,2011,1995,K,Skarżysko-Kamienna,świętokrzyskie,historia,3
408633,2011,1999,K,Wrocław,dolnośląskie,humanistyka,3
559977,2011,1996,M,Radom,mazowieckie,,3
776960,2011,1993,K,Koszalin,zachodniopomorskie,plastyka,3
420482,2011,1998,M,Lublin,lubelskie,humanistyka,3
969203,2011,1996,K,Kielce,świętokrzyskie,plastyka,2
661608,2011,1993,M,Nowy Targ,małopolskie,,2
422651,2011,2000,M,Warszawa,mazowieckie,biologia,1
327677,2011,1996,K,Kluczbork,opolskie,humanistyka,3
453914,2011,1996,K,Warszawa,mazowieckie,,2
159253,2011,1994,K,Koszalin,zachodniopomorskie,humanistyka,3
758729,2011,1995,K,Warszawa,mazowieckie,humanistyka,1
154284,2011,1998,M,Tarnów,małopolskie,geografia,2
235527,2011,1994,M,Zielona Góra,lubuskie,informatyka,3
771445,2011,2000,K,Tychy,śląskie,humanistyka,2
947496,2011,1997,K,Warszawa,mazowieckie,,2
626137,2011,1998,M,Żory,śląskie,,2
563030,2011,1994,M,Wrocław,dolnośląskie,humanistyka,3
628419,2011,1993,M,Katowice,śląskie,,2
136912,2011,1993,M,Kraków,małopolskie,plastyka,3
63072,2011,1998,M,Bytom,śląskie,,3
49570,2011,1997,M,Marki,mazowieckie,geografia,3
587003,2011,1993,K,Pabianice,łódzkie,,3
372301,2011,1995,M,Kraków,małopolskie,,3
896280,2011,1993,M,Chorzów,śląskie,historia,2
489382,2011,1993,M,Warszawa,mazowieckie,humanistyka,3
958328,2011,1998,M,Gdańsk,pomorskie,matematyka,3
69802,2011,1996,K,Kończyce Wielkie,śląskie,humanistyka,1
612768,2011,1995,M,Szczecin,zachodniopomorskie,fizyka,3
676869,2011,1998,K,Kraków,małopolskie,humanistyka,2
531615,2011,1994,K,Łódź,łódzkie,,2
866386,2011,1993,K,Tarnów,małopolskie,plastyka,3
846233,2011,1993,K,Kraków,małopolskie,filozofia,2
598478,2011,1993,K,Wasilków,podlaskie,humanistyka,3
83318,2011,1995,M,Koszalin,zachodniopomorskie,,2
636956,2011,1993,K,Suchy Las,wielkopolskie,humanistyka,3
62931,2011,2000,M,Bielsko-Biała,śląskie,humanistyka,2
524565,2011,1996,K,Jelenia Góra,dolnośląskie,humanistyka,2
456721,2011,1994,M,Piła,wielkopolskie,,2
786624,2011,1995,K,Swarzędz,wielkopolskie,,3
390897,2011,1995,K,Gdańsk,pomorskie,,2
855220,2011,1996,K,Marki,mazowieckie,humanistyka,3
673762,2011,1993,M,Bytom,śląskie,,2
278865,2011,1994,M,Gdynia,pomorskie,humanistyka,3
588712,2011,1997,K,Kolbudy,pomorskie,humanistyka,3
147462,2011,1994,M,Jaworzno,śląskie,,3
40054,2011,1996,M,Radom,mazowieckie,plastyka,3
624197,2011,1998,K,Poznań,wielkopolskie,,2
987209,2011,1996,K,Toruń,kujawsko-pomorskie,humanistyka,3
78592,2011,1999,K,Warszawa,mazowieckie,humanistyka,2
151146,2011,1997,K,Rybnik,śląskie,,3
558961,2011,2000,K,Bielsko-Biała,śląskie,plastyka,1
34849,2011,1998,M,Lublin,lubelskie,historia,1
237017,2011,1997,K,Pamiątkowo,wielkopolskie,muzyka,1
557796,2011,1997,K,Olsztyn,warmińsko-mazurskie,plastyka,1
105073,2011,1994,M,Kuźnica,podlaskie,humanistyka,2
552297,2011,1995,M,Ożarów Mazowiecki,mazowieckie,,2
480857,2011,2000,K,Tychy,śląskie,humanistyka,1
539583,2011,1999,M,Rymanów,podkarpackie,,2
949306,2011,1996,K,Białystok,podlaskie,humanistyka,1
338677,2011,1995,K,Katowice,śląskie,humanistyka,1
350721,2011,1997,M,Dobroń,łódzkie,plastyka,2
381997,2011,1994,M,Polanka Wielka,małopolskie,,2
109088,2011,1999,K,Legnica,dolnośląskie,informatyka,3
583533,2011,1996,M,Jaworzno,śląskie,humanistyka,1
567077,2011,1996,M,Skierniewice,łódzkie,humanistyka,3
57815,2011,1998,M,Leszno,wielkopolskie,,3
57104,2011,1998,K,Leszno,wielkopolskie,humanistyka,1
996164,2011,1995,K,Podwilk,małopolskie,,1
738728,2011,1996,M,Katowice,śląskie,,2
312188,2011,2001,M,Miechów,kieleckie,,1
42665,2011,1995,M,Legnica,dolnośląskie,filozofia,1
256068,2011,1995,M,Jaworzno,śląskie,humanistyka,3
825060,2011,2000,K,Zgierz,łódzkie,humanistyka,2
642346,2011,1998,K,Rzeszów,podkarpackie,plastyka,2
788592,2011,1993,M,Tomaszów Lubelski,lubelskie,plastyka,3
397864,2011,2001,M,Świątniki Górne,małopolskie,matematyka,1
812772,2011,1999,K,Tychy,śląskie,,2
914669,2011,1995,M,Zabrze,śląskie,humanistyka,2
317578,2011,1994,M,Mysłowice,śląskie,humanistyka,2
642763,2011,2000,M,Trzciana,podkarpackie,historia,2
856830,2011,1997,K,Zgierz,łódzkie,astronomia,1
123257,2011,1995,M,Kraków,małopolskie,,1
380039,2011,1994,K,Gdynia,pomorskie,humanistyka,1
59294,2011,1999,M,Ostrowiec Świętokrzyski,świętokrzyskie,matematyka,1
267028,2011,1998,M,Jasienica,mazowieckie,,2
578094,2011,1994,M,Bielsk Podlaski,podlaskie,matematyka,2
775552,2011,1997,K,Włodawa,lubelskie,,2
961842,2011,1999,M,Oświęcim,małopolskie,informatyka,1
229749,2011,1995,M,Gościcino,pomorskie,biologia,1
284858,2011,1998,M,Suwałki,podlaskie,humanistyka,1
49567,2011,1997,M,Wrocław,dolnośląskie,historia,1
700445,2011,1994,K,Poznań,wielkopolskie,humanistyka,1
110840,2011,2001,M,Sosnowiec,śląskie,matematyka,1
95202,2011,1995,K,Gdańsk,pomorskie,historia,1
251560,2011,1996,K,Kraków,małopolskie,humanistyka,2
205671,2011,1998,K,Warszawa,mazowieckie,plastyka,2
41970,2011,1994,K,Świerklaniec,śląskie,humanistyka,2
584352,2011,1996,K,Ruda Śląska,śląskie,humanistyka,1
844080,2011,1996,K,Kraków,małopolskie,historia,1
521337,2011,1993,K,Poznań,wielkopolskie,humanistyka,2
389144,2011,1996,K,Marki,mazowieckie,,2
601490,2011,1993,M,Rzeszów,podkarpackie,historia,3
824316,2011,1993,M,Wilamowice,śląskie,nauki społeczne,3
132744,2011,1993,K,Lublin,lubelskie,humanistyka,3
582500,2011,2000,M,Słupno,mazowieckie,,3
354627,2011,1993,K,Szczecin,zachodniopomorskie,filozofia,3
557907,2011,1993,M,Katowice,śląskie,filozofia,3
717814,2011,1993,M,Pionki,mazowieckie,humanistyka,3
658638,2011,1993,M,Katowice,śląskie,humanistyka,3
922830,2011,1993,K,Starachowice,świętokrzyskie,humanistyka,3
112523,2011,1993,M,Olszewo-Borki,mazowieckie,humanistyka,3
619865,2011,1994,M,Radom,mazowieckie,filozofia,2
500588,2011,1995,K,Wrocław,dolnośląskie,filozofia,2
863457,2011,1993,K,Police,zachodniopomorskie,humanistyka,2
603757,2011,1994,K,Warszawa,mazowieckie,filozofia,2
978918,2011,1991,M,Łódź,łódzkie,nauki społeczne,2
862983,2011,1995,M,Komorniki,wielkopolskie,historia,2
5410,2011,1998,M,Żywiec,śląskie,historia,2
685455,2011,1993,K,Biskupice Wielkopolskie,wielkopolskie,filozofia,2
596032,2011,1992,K,Bielsko-Biała,śląskie,humanistyka,2
971247,2011,1997,K,Wojaszówka,podkarpackie,humanistyka,2
841914,2011,1996,M,Zielona Góra,lubuskie,nauki społeczne,2
145711,2011,1993,K,Czernikowo,kujawsko-pomorskie,humanistyka,2
987096,2011,1993,M,Oborniki,wielkopolskie,historia,2
723285,2011,1994,K,Kraków,małopolskie,historia,2
530647,2011,1993,K,Warszawa,mazowieckie,humanistyka,2
625999,2011,1995,K,Damnica,pomorskie,historia,2
489532,2011,1996,M,Warszawa,mazowieckie,historia,1
32783,2011,1998,K,Piastów,mazowieckie,humanistyka,1
270252,2011,1995,K,Wałbrzych,dolnośląskie,humanistyka,1
134272,2011,1996,K,Bielsko-Biała,śląskie,humanistyka,1
292198,2011,1997,M,Gliwice,śląskie,historia,1
747811,2011,1998,K,Krosno,podkarpackie,wielokierunkowe,1
260926,2011,1993,K,Jasło,podkarpackie,humanistyka,1
915370,2011,1996,M,Nowy Sącz,małopolskie,historia,1
684077,2011,1993,M,Jedlicze,podkarpackie,historia,1
105292,2011,1995,M,Radom,mazowieckie,humanistyka,1
377902,2011,1994,K,Bydgoszcz,kujawsko-pomorskie,humanistyka,1
484290,2011,1993,K,Gorzów Wlkp.,lubuskie,humanistyka,1
133925,2011,1994,K,Wolin,zachodniopomorskie,humanistyka,1
638469,2011,1994,K,Jarosław,podkarpackie,humanistyka,1
520851,2011,1994,K,Wągrowiec,wielkopolskie,humanistyka,1
899031,2011,1994,M,Tarnowskie Góry,śląskie,humanistyka,1
926514,2011,1995,K,Stalowa Wola,podkarpackie,humanistyka,1
175799,2011,1996,M,Wieliczka,małopolskie,historia,1
438956,2011,1995,K,Mikołów,śląskie,humanistyka,1
766393,2011,1994,K,Żywiec,śląskie,humanistyka,1
817292,2011,1995,M,Sierpc,mazowieckie,historia,1
609771,2011,1995,K,Karniewo,mazowieckie,humanistyka,1
752531,2011,1993,M,Bytom,śląskie,humanistyka,1
312931,2011,1996,K,Gorzów Wlkp.,lubuskie,humanistyka,1
897499,2011,1999,K,Oława,dolnośląskie,humanistyka,1
962405,2011,1994,M,Gać,podkarpackie,humanistyka,1
584628,2011,1995,M,Warszawa,mazowieckie,matematyka,3
141190,2011,1995,M,Bolesławiec,dolnośląskie,matematyka,3
912860,2011,1993,M,Kraków,małopolskie,fizyka,3
883429,2011,1993,M,Wrocław,dolnośląskie,matematyka,3
801792,2011,1995,M,Gliwice,śląskie,informatyka,3
323191,2011,1994,M,Knurów,śląskie,informatyka,3
544642,2011,1994,M,Warszawa,mazowieckie,matematyka,3
494790,2011,1993,M,Rzeszów,podkarpackie,matematyka,3
545887,2011,1994,M,Bydgoszcz,kujawsko-pomorskie,informatyka,3
348861,2011,1994,M,Warszawa,mazowieckie,fizyka,3
85680,2011,1993,M,Warszawa,mazowieckie,matematyka,3
567267,2011,1993,M,Marki,mazowieckie,fizyka,3
519545,2011,1994,M,Rzeszów,podkarpackie,informatyka,3
156803,2011,1993,M,Toruń,kujawsko-pomorskie,matematyka,3
857140,2011,1993,K,Warszawa,mazowieckie,matematyka,3
277058,2011,1993,M,Skierniewice,łódzkie,informatyka,3
36319,2011,1995,M,Warszawa,mazowieckie,fizyka,3
379152,2011,1993,M,Rzeszów,podkarpackie,matematyka,3
670972,2011,1996,M,Łódź,łódzkie,matematyka,3
446636,2011,1993,M,Katowice,śląskie,matematyka,3
259926,2011,1993,M,Brzesko,małopolskie,matematyka,3
817638,2011,2000,M,Rzeszów,podkarpackie,matematyka,2
329460,2011,1997,M,Łódź,łódzkie,fizyka,2
190910,2011,1996,K,Opole,opolskie,matematyka,2
266044,2011,1999,M,Niedrzwica Duża,lubelskie,informatyka,2
943682,2011,1994,M,Olsztyn,warmińsko-mazurskie,informatyka,2
268196,2011,1993,M,Mieszkowice,zachodniopomorskie,matematyka,2
447142,2011,1995,M,Dobrcz,kujawsko-pomorskie,matematyka,2
178203,2011,1995,M,Przerośl,podlaskie,matematyka,2
551342,2011,1993,M,Wrocław,dolnośląskie,informatyka,2
909030,2011,1993,M,Czaniec,śląskie,matematyka,2
822642,2011,1995,K,Inowrocław,kujawsko-pomorskie,matematyka,2
704108,2011,1994,M,Andrychów,małopolskie,fizyka,2
983384,2011,1993,K,Wydminy,warmińsko-mazurskie,astronomia,2
256741,2011,1993,K,Mielec,podkarpackie,matematyka,2
620160,2011,1993,M,Szubin,kujawsko-pomorskie,fizyka,2
153718,2011,1995,M,Bydgoszcz,kujawsko-pomorskie,informatyka,2
758841,2011,1996,M,Warszawa,mazowieckie,matematyka,2
125973,2011,1993,M,Rzeszów,podkarpackie,matematyka,2
125088,2011,1993,M,Kraków,małopolskie,informatyka,2
213566,2011,1993,M,Koluszki,łódzkie,astronomia,2
578962,2011,1993,M,Giżycko,warmińsko-mazurskie,informatyka,2
192080,2011,1993,M,Bielsko-Biała,śląskie,fizyka,2
95259,2011,1996,M,Białystok,podlaskie,informatyka,2
117375,2011,1996,M,Zamość,kujawsko-pomorskie,matematyka,2
174373,2011,1996,M,Warszawa,mazowieckie,informatyka,2
922167,2011,1993,M,Łukowa,lubelskie,fizyka,2
453984,2011,1993,M,Białystok,podlaskie,matematyka,2
263773,2011,1996,M,Warszawa,mazowieckie,fizyka,2
282277,2011,1995,K,Warszawa,mazowieckie,matematyka,2
247720,2011,1994,M,Janowice,małopolskie,astronomia,2
893417,2011,1994,M,Bydgoszcz,kujawsko-pomorskie,fizyka,2
131669,2011,1997,M,Leszno,wielkopolskie,matematyka,2
753519,2011,1998,M,Gdańsk,pomorskie,matematyka,2
489070,2011,1993,M,Skała,małopolskie,matematyka,2
374216,2011,1994,M,Katowice,śląskie,matematyka,2
677479,2011,1995,K,Bydgoszcz,kujawsko-pomorskie,matematyka,2
461040,2011,1995,M,Truskolasy,śląskie,astronomia,2
233653,2011,1994,M,Radomyśl Wielki,podkarpackie,informatyka,2
75185,2011,1995,M,Łomża,podlaskie,astronomia,2
821624,2011,1993,M,Wieliczka,małopolskie,matematyka,2
